07/12/2010,18:00:01,131,1.2592,1.2592,1.2589,1.2594
07/12/2010,18:01:01,79,1.2592,1.2592,1.259,1.2593
07/12/2010,18:02:01,120,1.259,1.2593,1.2589,1.2594
07/12/2010,18:03:01,122,1.2593,1.2593,1.2589,1.2594
07/12/2010,18:04:01,120,1.2593,1.2592,1.2589,1.2594
07/12/2010,18:05:01,103,1.2592,1.2592,1.2589,1.2593
07/12/2010,18:06:01,157,1.2589,1.2591,1.2586,1.2593
07/12/2010,18:07:01,136,1.2592,1.2591,1.2586,1.2593
07/12/2010,18:08:01,157,1.2588,1.259,1.2586,1.2593
07/12/2010,18:09:01,180,1.2588,1.259,1.2587,1.2592
07/12/2010,18:10:01,119,1.2592,1.2589,1.2585,1.2593
07/12/2010,18:11:01,108,1.2589,1.259,1.2586,1.2592
07/12/2010,18:12:01,165,1.2589,1.2588,1.2585,1.2592
07/12/2010,18:13:01,147,1.2589,1.259,1.2584,1.2592
07/12/2010,18:14:01,83,1.2588,1.2591,1.2587,1.2593
07/12/2010,18:15:01,75,1.2592,1.2589,1.2588,1.2593
07/12/2010,18:16:01,65,1.2589,1.2591,1.2589,1.2593
07/12/2010,18:17:01,78,1.2591,1.2592,1.2589,1.2593
07/12/2010,18:18:01,143,1.2592,1.2588,1.2587,1.2593
07/12/2010,18:19:01,195,1.2586,1.2589,1.2585,1.2592
07/12/2010,18:20:01,278,1.2589,1.2588,1.2585,1.2591
07/12/2010,18:21:01,181,1.2588,1.2586,1.2585,1.259
07/12/2010,18:22:01,222,1.2586,1.2588,1.2583,1.259
07/12/2010,18:23:01,77,1.2588,1.2588,1.2587,1.259
07/12/2010,18:24:01,168,1.2586,1.2589,1.2585,1.2591
07/12/2010,18:25:01,213,1.2589,1.2587,1.2584,1.259
07/12/2010,18:26:01,211,1.2588,1.2588,1.2582,1.2589
07/12/2010,18:27:01,114,1.2588,1.2587,1.2584,1.2589
07/12/2010,18:28:01,234,1.2587,1.2586,1.2582,1.2589
07/12/2010,18:29:01,135,1.2586,1.2588,1.2584,1.259
07/12/2010,18:30:01,228,1.2588,1.2586,1.2584,1.259
07/12/2010,18:31:01,126,1.2586,1.2585,1.2583,1.2589
07/12/2010,18:32:01,180,1.2585,1.2586,1.2583,1.2588
07/12/2010,18:33:01,136,1.2586,1.2585,1.2583,1.2589
07/12/2010,18:34:01,129,1.2583,1.2587,1.2582,1.2588
07/12/2010,18:35:01,178,1.2587,1.2586,1.2583,1.2589
07/12/2010,18:36:01,282,1.2585,1.2587,1.2583,1.259
07/12/2010,18:37:01,248,1.2587,1.2589,1.2586,1.2591
07/12/2010,18:38:01,286,1.2589,1.2588,1.2584,1.2591
07/12/2010,18:39:01,142,1.2588,1.2589,1.2584,1.259
07/12/2010,18:40:01,293,1.2587,1.2589,1.2584,1.259
07/12/2010,18:41:01,92,1.2589,1.2591,1.2586,1.2592
07/12/2010,18:42:01,144,1.2588,1.2589,1.2586,1.2592
07/12/2010,18:43:01,255,1.2589,1.2589,1.2585,1.2591
07/12/2010,18:44:01,146,1.2588,1.2586,1.2583,1.259
07/12/2010,18:45:01,33,1.2588,1.2588,1.2585,1.2589
07/12/2010,18:46:01,99,1.2587,1.2587,1.2582,1.2589
07/12/2010,18:47:01,159,1.2587,1.2587,1.2583,1.2589
07/12/2010,18:48:01,156,1.2586,1.2586,1.2583,1.2589
07/12/2010,18:49:01,87,1.2588,1.2587,1.2583,1.2589
07/12/2010,18:50:01,124,1.2587,1.2587,1.2582,1.2589
07/12/2010,18:51:01,274,1.2587,1.2592,1.2585,1.2593
07/12/2010,18:52:01,222,1.2592,1.259,1.2583,1.2593
07/12/2010,18:53:01,188,1.259,1.2588,1.2587,1.2592
07/12/2010,18:54:01,181,1.2589,1.259,1.2586,1.2592
07/12/2010,18:55:01,240,1.2589,1.2592,1.2587,1.2594
07/12/2010,18:56:01,300,1.2592,1.2595,1.2588,1.2598
07/12/2010,18:57:01,324,1.2596,1.2595,1.2591,1.2597
07/12/2010,18:58:01,209,1.2595,1.2597,1.2592,1.2598
07/12/2010,18:59:01,250,1.2596,1.2596,1.2591,1.2598
07/12/2010,19:00:01,196,1.2593,1.2594,1.2591,1.2597
07/12/2010,19:01:01,212,1.2595,1.2595,1.2592,1.2597
07/12/2010,19:02:01,139,1.2594,1.2594,1.259,1.2596
07/12/2010,19:03:01,119,1.2594,1.2594,1.259,1.2596
07/12/2010,19:04:01,256,1.2594,1.2595,1.259,1.2596
07/12/2010,19:05:01,156,1.2594,1.2592,1.2588,1.2596
07/12/2010,19:06:01,191,1.2591,1.2592,1.2588,1.2595
07/12/2010,19:07:01,183,1.2594,1.2593,1.2589,1.2595
